iter	Passed	Remaining
0	140	140716
1	142	71135
2	144	47922
3	145	36325
4	147	29439
5	149	24775
6	151	21424
7	152	18903
8	153	16940
9	155	15356
10	156	14050
11	157	12962
12	158	12053
13	160	11275
14	161	10608
15	162	10007
16	163	9480
17	165	9025
18	166	8601
19	167	8218
20	168	7873
21	170	7569
22	171	7278
23	172	7009
24	173	6760
25	174	6529
26	175	6327
27	176	6138
28	177	5955
29	178	5787
30	180	5628
31	181	5477
32	182	5336
33	182	5196
34	183	5060
35	184	4931
36	184	4808
37	185	4691
38	185	4580
39	186	4475
40	187	4375
41	187	4281
42	188	4190
43	188	4103
44	189	4022
45	190	3952
46	191	3878
47	191	3807
48	192	3738
49	193	3670
50	193	3606
51	194	3543
52	194	3483
53	195	3427
54	196	3372
55	196	3319
56	197	3267
57	198	3217
58	198	3168
59	199	3122
60	199	3077
61	200	3034
62	201	2992
63	201	2952
64	202	2912
65	203	2874
66	203	2837
67	204	2800
68	205	2771
69	206	2738
70	206	2706
71	207	2674
72	208	2643
73	208	2612
74	209	2583
75	210	2554
76	210	2528
77	211	2500
78	212	2472
79	212	2445
80	213	2418
81	213	2392
82	214	2364
83	214	2339
84	215	2315
85	215	2292
86	216	2268
87	216	2245
88	217	2222
89	217	2200
90	218	2179
91	218	2158
92	219	2137
93	219	2118
94	220	2104
95	221	2086
96	222	2068
97	222	2050
98	223	2032
99	223	2015
100	224	1998
101	225	1981
102	225	1966
103	226	1949
104	226	1933
105	227	1917
106	227	1901
107	228	1885
108	228	1870
109	229	1855
110	229	1840
111	230	1826
112	230	1811
113	231	1798
114	231	1784
115	232	1771
116	232	1757
117	233	1744
118	233	1732
119	234	1719
120	235	1708
121	235	1697
122	236	1688
123	237	1677
124	238	1666
125	238	1655
126	239	1643
127	239	1632
128	240	1621
129	240	1610
130	241	1599
131	241	1589
132	242	1578
133	242	1568
134	243	1557
135	243	1547
136	244	1537
137	244	1528
138	245	1518
139	245	1508
140	246	1499
141	246	1489
142	246	1480
143	247	1471
144	247	1462
145	248	1453
146	249	1445
147	249	1436
148	250	1429
149	251	1422
150	251	1415
151	252	1407
152	252	1399
153	253	1391
154	253	1384
155	254	1376
156	254	1368
157	255	1361
158	255	1353
159	256	1346
160	256	1338
161	257	1331
162	257	1324
163	258	1317
164	258	1310
165	259	1303
166	260	1297
167	260	1290
168	261	1283
169	261	1277
170	262	1271
171	262	1265
172	263	1258
173	263	1252
174	264	1246
175	265	1240
176	266	1236
